房源编号,名称1,户型,月租,付款方式,租赁方式,面积,朝向,维护,楼层,车位,租期,入住,电梯,描述,地铁站,离地铁站距离,网站,名称,区,街道,小区
房源编号：SH2749265859112878080,整租·雅致公寓(莘庄),3室1厅,7500,(季付价),整租,119㎡,南,6天前,中楼层/24层,暂无数据,2年以内,随时入住,有,"【房源亮点】<br />
离地铁近，出门就是公交站台，出行方便，里莘光近，接送孩子方便，小区绿化好<br />
<br />
【户型介绍】<br />
房间朝向东南，两个主卧朝南，次卧朝北，餐厅与客厅相连，带阳台<br />
<br />
【装修描述】<br />
自住装修，装修风格复古居家，品牌家具，采光足，保养好，楼间距大无遮挡<br />
<br />
【交通出行】<br />
距离1号线和5号线莘庄地铁站600米，出门100米可以上沪昆高速，出门800米可以上外环高速；有多个公交线路<br />
<br />
【周边配套】<br />
旁边是闵行区法院，小区北面是莘光，上学十分方便，往西200米处是闵行区政府，水清路一条街超市，餐饮，菜市场，生活配套十分方便<br />
<br />
【小区介绍】<br />
小区是1998年竣工，物业地址为雅致路31弄，位置安静，小区自带花园，住户不多但自住率高。<br />
<br />
",1号线 - 外环路,998m,http://sh.lianjia.com/zufang/SH2749265859112878080.html,"
          整租·雅致公寓(莘庄) 3室1厅 南        ",闵行,莘庄,雅致公寓(莘庄)
房源编号：SH2749371316783292416,整租·上海康城,3室2厅,7000,(季付价),整租,132㎡,南,1天前,中楼层/16层,暂无数据,暂无数据,随时入住,有,"【交通出行】<br />
距离莘庄地铁站三公里，小区内有三列班车可直达地铁站，周.边大型商场龙之梦，彩生活时代广场，亚繁亚乐城，浅水湾商.业中.心应.有.尽.有，电影院，银行，星巴克，健身房，游泳馆一.应.俱.全，能够满足基础娱乐<br />
<br />
【周边配套】<br />
距离莘庄地铁站三公里，小区内有三列班车可直达地铁站，周.边大型商场龙之梦，彩生活时代广场，亚繁亚乐城，浅水湾商.业中.心应.有.尽.有，电影院，银行，星巴克，健身房，游泳馆一.应.俱.全，能够满足基础娱乐<br />
<br />
【小区介绍】<br />
上海康城，意为“戛纳”，由香港人设计，户型方正，视野开阔，采光通风好，装修配套完善，幸福触手可及设计师。小区闹中取静有山有水，风景优美，在霓虹灯的闪耀下，一切变得如梦如幻。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2749371316783292416.html,"
          整租·上海康城 3室2厅 南        ",闵行,莘庄,上海康城
房源编号：SH2749231774176649216,整租·朗诗未来树,3室1厅,3000,(季付价),整租,78㎡,南,1天前,中楼层/5层,暂无数据,1年以内,随时入住,无,"【房源亮点】<br />
精装商品房，采光通风效果良好，价格美丽，生活娱乐设施齐全！！<br />
<br />
【户型介绍】<br />
两个卧室一南一北，南北通透采光也比较好，房间干净整洁，居住较舒适！<br />
<br />
【装修描述】<br />
精装商品房，采光通风效果良好，价格美丽，生活娱乐设施齐全！！<br />
<br />
【交通出行】<br />
公交：祝桥1路，祝桥2路，浦东188路，；地铁：2号线海天三路地铁站，凌空路地铁站，距离为10公里<br />
<br />
【周边配套】<br />
海天湖公园，商场，生活超市，酒店，餐厅等。生活便利，设施齐全！！<br />
<br />
【小区介绍】<br />
小区环境优美，绿化好。有公园、健身场所以及玩耍的地方，物业很负责，管理较好。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2749231774176649216.html,"
          整租·朗诗未来树 3室1厅 南        ",浦东,祝桥,朗诗未来树
房源编号：SH2750005010074451968,整租·绿地旭辉e天地,1室1厅,4700,(季付价),整租,51㎡,南,5天前,高楼层/11层,租用车位,3年以内,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2750005010074451968.html,"
          整租·绿地旭辉e天地 1室1厅 南        ",闵行,华漕,绿地旭辉e天地
房源编号：SH2749283499373764608,整租·绿地朱家角1号,4室2厅,5500,(季付价),整租,134㎡,南,1天前,中楼层/4层,暂无数据,暂无数据,随时入住,无,无信息,17号线 - 漕盈路,1055m,http://sh.lianjia.com/zufang/SH2749283499373764608.html,"
          整租·绿地朱家角1号 4室2厅 南        ",青浦,朱家角,绿地朱家角1号
房源编号：SH2749308713801089024,整租·松南城芙蓉苑,2室1厅,1800,(季付价),整租,77㎡,南,4天前,高楼层/17层,暂无数据,暂无数据,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2749308713801089024.html,"
          整租·松南城芙蓉苑 2室1厅 南        ",松江,车墩,松南城芙蓉苑
房源编号：SH2749880874018275328,整租·馨雅名筑,2室2厅,4000,(季付价),整租,97㎡,南,今天,中楼层/16层,租用车位,1年以内,随时入住,有,"【房源亮点】<br />
经典三房，南北通透，干湿分离，空间开敞，分区合理，通风采光良好。<br />
<br />
【户型介绍】<br />
户型设计从功能出发，简约自然，双明亮卧室，良好通风采光，精致，简约。<br />
<br />
【装修描述】<br />
现代简约风，突破传统风格，重视家具使用性，发挥结构本身美，惬意生活。<br />
<br />
【交通出行】<br />
奉贤5路 882路 虹桥枢纽5路 奉贤1路 奉贤3路 航奉专线 浦卫线<br />
<br />
【出租原因】<br />
房东还有房子住 此房闲置 楼层视野开阔 无遮挡 诚心出租 家具家电齐全<br />
<br />
【周边配套】<br />
古华医院 奉贤图书馆 青青草幼儿园 奉浦医院 弘文 乐购 卜蜂莲花 百联 苏宁生 活广场<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2749880874018275328.html,"
          整租·馨雅名筑 2室2厅 南        ",奉贤,南桥,馨雅名筑
房源编号：SH2749202164126851072,整租·华美达公寓,1室1厅,3500,(季付价),整租,36㎡,北,1天前,高楼层/21层,暂无数据,暂无数据,随时入住,有,"【房源亮点】<br />
精装1居，适合 合生汇，五角场上班的白领,配套齐全，可拎包。<br />
<br />
【交通出行】<br />
地铁公交丰富，交通便利。 地铁：距离10号线五角场站960米。 公交：618米处有黄兴路公交站。途径90路，538路，713路，819路 842路等多条公交线路（数据来源于高德地图）<br />
<br />
【周边配套】<br />
配套设施齐全，shenghuo便利。 商场：1公里内有合生汇shenghuo广场 休闲：黄兴公园， 教育：翔殷幼稚园 杨浦xiaoxue 银行：中国邮政储蓄银行，中国建设银行 医院：上海长海医院，第二军医大学第三附属医院<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2749202164126851072.html,"
          整租·华美达公寓 1室1厅 北        ",杨浦,黄兴公园,华美达公寓
房源编号：SH2749856330872528896,整租·爱家新城,3室2厅,1680,(季付价),整租,106㎡,南,6天前,高楼层/6层,租用车位,3年以内,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2749856330872528896.html,"
          整租·爱家新城 3室2厅 南        ",浦东,大团镇,爱家新城
房源编号：SH2751996995320152064,整租·保利佳苑,3室1厅,4000,(季付价),整租,75㎡,南,今天,高楼层/18层,租用车位,暂无数据,随时入住,有,"【装修描述】<br />
青客装修，3房间朝南，楼层好，通风采光比较好。<br />
<br />
【交通出行】<br />
快速干道：嘉闵高架、申嘉湖高速、沪金高速。公交线路：闵行29路（银康路富国路）、闵行35路（银康路富卓路）、闵行17路B线（银春路富国路无缝连接轨道交通5号线（北桥站）直达莘庄站。<br />
<br />
【周边配套】<br />
家海超市、联华超市、康品汇生鲜、马桥满天星生活广场、星悦荟、满天星广场。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2751996995320152064.html,"
          整租·保利佳苑 3室1厅 南        ",闵行,老闵行,保利佳苑
房源编号：SH2751449094681018368,整租·帝豪苑,4室2厅,17000,(季付价),整租,180㎡,南,1天前,中楼层/5层,租用车位,3年以内,随时入住,无,"【房源亮点】<br />
房间在3楼，楼上两房朝南，1房朝北，楼下客厅房间朝南，采光无遮挡，有地下车库<br />
<br />
【户型介绍】<br />
小区档次高，近西郊宾馆花园别墅，创世纪别墅，御墅花园，檀宫等上海别墅群绿树成荫，环境优雅，适合追求高品质生活的人士居住步行到达：西郊百联购物、长宁医院、世界基金会幼儿园、东展、<br />
<br />
【交通出行】<br />
步行到西郊百联， 54路 ， 91路， 141路 ，855路，825路 836路 等众多公交车四通八达。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2751449094681018368.html,"
          整租·帝豪苑 4室2厅 南        ",长宁,北新泾,帝豪苑
房源编号：SH2752324721357103104,整租·东湾小区,1室1厅,3300,(季付价),整租,44㎡,南,1天前,高楼层/6层,暂无数据,2年以内,随时入住,无,"【交通出行】<br />
小区门口有从小区门口坐770可直接到徐家汇、坐731到闵行可连接1号线锦江乐园、坐958可以双向到徐家汇和闵行并且连接多条地铁站、956、等多路公交，直线500米徐浦大桥联通外环，虹梅南路高架联通外环、中环和沪闵路，可到达市区及各各地区，<br />
<br />
【周边配套】<br />
有吉买盛和尚优玛特以及新建的龙湖天街，购物方便！ 中国建设银行，中国工商银行，中国农商银行，为您生活提供便利！华泾公园，为您提供休闲场所！大华医院和华泾镇卫生所，为您提供医疗保障！小区内有便利店，菜市场，早餐店等一应俱全。<br />
<br />
【小区介绍】<br />
东湾小区建于1994-1998年。2018年小区进行了“美丽家园”改造拓宽了马路和小区公共设施，小区内部有便利店，菜市场，理发店，早餐店等配套设施齐全，物业安保安全负责。北门出门就是公交车站龙吴路徐梅路站956路（徐家汇），770路（徐家汇<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2752324721357103104.html,"
          整租·东湾小区 1室1厅 南        ",徐汇,华泾,东湾小区
房源编号：SH2757383407247040512,整租·恒大帝景,3室2厅,10000,(季付价),整租,106㎡,南,5天前,高楼层/16层,免费使用,3年以上,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2757383407247040512.html,"
          整租·恒大帝景 3室2厅 南        ",松江,松江新城,恒大帝景
房源编号：SH2755030294070566912,整租·上海绿城,1室1厅,11000,(季付价),整租,82㎡,南,4天前,低楼层/22层,暂无数据,暂无数据,2021/6/1,有,"【交通出行】<br />
小区距离陆家嘴直线距离4.6公里，出行很方便，绿城东门口就有多路公交站直达陆家嘴， 公交有819浦东4路，车程7.2公里，行驶35mi。 自驾6.7公里，15mi车程， 步行5.8公里，1小时23mi 骑行6.3公里，32min<br />
<br />
【周边配套】<br />
绿城南门出去就是东建路的步行街，生活很便利，南门距离东建路菜场300米，中国银行100米，建行400米，星巴克30米，联华超市50米等等， 绿城东门有多家银行浦发，光大，工行等等，板块内有世纪公园，杨东公园。<br />
<br />
【小区介绍】<br />
小区是由绿城集团开发，绿城物业管理，人车分流的花园式小区、小区有会所，包括室内外恒温泳池、游泳池，健身房等等，交通便利，建筑外形风格典雅阔气小区安保工作谨慎，巡kar查力度强，居民素高，小区安保严格，安全性好，<br />
<br />
","4号线,6号线 - 蓝村路",1168m,http://sh.lianjia.com/zufang/SH2755030294070566912.html,"
          整租·上海绿城 1室1厅 南        ",浦东,杨东,上海绿城
房源编号：SH2757324823624687616,整租·乾潇坊,3室2厅,3500,(季付价),整租,142㎡,南 北,7天前,中楼层/14层,暂无数据,1年以内,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2757324823624687616.html,"
          整租·乾潇坊 3室2厅 南/北        ",嘉定,菊园新区,乾潇坊
房源编号：SH2757757135151972352,整租·中星馨恒苑,2室2厅,8000,(季付价),整租,91㎡,南,7天前,高楼层/18层,租用车位,1年以内,随时入住,有,"【装修描述】<br />
该房源是中星馨恒苑经典的两房两厅一厨一卫的经典户型，三开间朝南，房间客厅宽敞卧室采光好，厨房卫生间都有窗户，不用担心通风和排气！装修也是业主自己一手操办的装修，很用心，房子房龄新位置好，看了一定喜欢！<br />
<br />
【周边配套】<br />
七号线大场镇地铁口地区级商场日月光开业在即，大融城热闹非凡，中环卜蜂莲花触手可及，楼下各种便利店菜市场近在咫尺。东边市北高新区产业园，中环中铁时代广场，宝尊电商西有飞马旅创意园区工作机会不计其数，南有永和公园，大宁公园，漫步其中流连忘返。<br />
<br />
【小区介绍】<br />
中星馨恒苑是2015年的次新小区，法国经典浪漫主义设计风格，小区人车分流，环境优美，绿树成阴，物业管理规范，人文气息浓厚，小区花园是休闲的好去处，楼间距大平时晚上跑步都不需要去体育馆，适合生活<br />
<br />
",7号线 - 大场镇,764m,http://sh.lianjia.com/zufang/SH2757757135151972352.html,"
          整租·中星馨恒苑 2室2厅 南        ",静安,永和,中星馨恒苑
房源编号：SH2756646577907957760,整租·罗阳一村,2室1厅,4950,(季付价),整租,62㎡,南,6天前,高楼层/6层,暂无数据,3年以内,随时入住,无,"【房源亮点】<br />
小区安静舒适，环境干净整洁，离莲花南路近，出门就是公交站，四通八达，便捷。 房子内部干净整洁，采光通风好，安全方便<br />
<br />
【装修描述】<br />
居家装修，家具家电齐全，适合一家人居住，房子干净清爽整洁，可拎包入住。<br />
<br />
【交通出行】<br />
交通出行小区设有多路公交车站，外环路、莲花路地铁站，交通方便，无堵车风险。公交有：156、180、735、957、闵行25路，闵行12路，闵行13路，闵行3路等。<br />
<br />
【周边配套】<br />
小区配套齐全，有莲花国际广场、百联南方购物、家乐福、大润发等大型商场和超市，小区旁有联华超市、便利店，罗阳市场，方便买菜做饭。<br />
<br />
【小区介绍】<br />
小区安静舒适，环境干净整洁，离莲花南路近，出门就是公交站，四通八达，便捷。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2756646577907957760.html,"
          整租·罗阳一村 2室1厅 南        ",闵行,梅陇,罗阳一村
